time	V(n002)	V(n004)	V(n005)	V(n009)
3.775128390814870e-007	2.156337e-004	1.904997e-002	1.547496e-002	1.233349e-003
3.871389551529158e-007	1.634657e-004	1.985030e-002	1.545749e-002	1.233349e-003
3.967650712243446e-007	1.234638e-004	2.069260e-002	1.544011e-002	1.233349e-003
4.063911872957734e-007	9.562798e-005	2.157686e-002	1.542281e-002	1.233349e-003
4.160173033672022e-007	7.995832e-005	2.250308e-002	1.540560e-002	1.233349e-003
4.264804730100596e-007	6.302396e-005	2.355636e-002	1.538699e-002	1.233349e-003
4.369436426529170e-007	4.851594e-005	2.470575e-002	1.536850e-002	1.233349e-003
4.474068122957744e-007	3.643425e-005	2.595125e-002	1.535011e-002	1.233349e-003
4.578699819386318e-007	2.677889e-005	2.729285e-002	1.533182e-002	1.233349e-003
4.683331515814891e-007	1.954987e-005	2.873056e-002	1.531365e-002	1.233349e-003
4.787963212243465e-007	1.474719e-005	3.026438e-002	1.529558e-002	1.233349e-003
4.892594908672039e-007	1.237083e-005	3.189430e-002	1.527762e-002	1.233349e-003
4.960954283672041e-007	1.049180e-005	3.303315e-002	1.526595e-002	1.233349e-003
5.029313658672042e-007	8.824068e-006	3.426286e-002	1.525432e-002	1.233349e-003
5.097673033672044e-007	7.367649e-006	3.558345e-002	1.524272e-002	1.233349e-003
5.166032408672046e-007	6.122540e-006	3.699492e-002	1.523117e-002	1.233349e-003
5.234391783672047e-007	5.088739e-006	3.849725e-002	1.521965e-002	1.233349e-003
5.302751158672049e-007	4.266248e-006	4.009046e-002	1.520818e-002	1.233349e-003
5.371110533672051e-007	3.655067e-006	4.177455e-002	1.519674e-002	1.233349e-003
5.417148480100623e-007	3.260941e-006	4.298040e-002	1.518906e-002	1.233349e-003
5.463186426529196e-007	2.900711e-006	4.427542e-002	1.518138e-002	1.233349e-003
5.509224372957769e-007	2.574379e-006	4.565958e-002	1.517370e-002	1.233349e-003
5.555262319386340e-007	2.281943e-006	4.713290e-002	1.516602e-002	1.233349e-003
5.601300265814913e-007	2.023405e-006	4.869538e-002	1.515835e-002	1.233349e-003
5.647338212243486e-007	1.798763e-006	5.034701e-002	1.515068e-002	1.233349e-003
5.693376158672059e-007	1.608018e-006	5.208780e-002	1.514301e-002	1.233349e-003
5.725463212243488e-007	1.483505e-006	5.337356e-002	1.513767e-002	1.233349e-003
5.757550265814917e-007	1.367128e-006	5.475130e-002	1.513230e-002	1.233349e-003
5.789637319386346e-007	1.258888e-006	5.622102e-002	1.512691e-002	1.233349e-003
5.821724372957776e-007	1.158785e-006	5.778272e-002	1.512150e-002	1.233349e-003
5.853811426529206e-007	1.066818e-006	5.943640e-002	1.511608e-002	1.233349e-003
5.885898480100635e-007	9.829882e-007	6.118205e-002	1.511063e-002	1.233349e-003
5.917985533672064e-007	9.072945e-007	6.301969e-002	1.510516e-002	1.233349e-003
5.941702051529208e-007	8.545095e-007	6.445666e-002	1.510110e-002	1.233349e-003
5.965418569386350e-007	8.044174e-007	6.599970e-002	1.509699e-002	1.233349e-003
5.989135087243494e-007	7.570183e-007	6.764880e-002	1.509284e-002	1.233349e-003
6.012851605100638e-007	7.123120e-007	6.940398e-002	1.508865e-002	1.233349e-003
6.036568122957782e-007	6.702987e-007	7.126522e-002	1.508442e-002	1.233349e-003
6.060284640814924e-007	6.309783e-007	7.323253e-002	1.508014e-002	1.233349e-003
