time	V(n002)	V(n004)	V(n005)	V(n009)
1.748063121785336e-007	3.166784e+000	3.370352e-002	4.894128e+000	2.251621e+000
1.781545264642479e-007	3.169767e+000	3.299985e-002	4.894135e+000	2.254686e+000
1.819212675356765e-007	3.172846e+000	3.224941e-002	4.894142e+000	2.258118e+000
1.856880086071050e-007	3.175697e+000	3.153642e-002	4.894149e+000	2.261534e+000
1.894547496785336e-007	3.178321e+000	3.086088e-002	4.894156e+000	2.264933e+000
1.932214907499622e-007	3.180716e+000	3.022279e-002	4.894163e+000	2.268316e+000
1.969882318213907e-007	3.182883e+000	2.962215e-002	4.894170e+000	2.271683e+000
2.007549728928193e-007	3.184822e+000	2.905896e-002	4.894177e+000	2.275034e+000
2.045217139642478e-007	3.186533e+000	2.853323e-002	4.894183e+000	2.278368e+000
2.084279639642478e-007	3.188160e+000	2.801296e-002	4.894190e+000	2.281809e+000
2.123342139642478e-007	3.189662e+000	2.751518e-002	4.894196e+000	2.285233e+000
2.162404639642478e-007	3.191041e+000	2.703986e-002	4.894202e+000	2.288641e+000
2.201467139642478e-007	3.192296e+000	2.658702e-002	4.894209e+000	2.292031e+000
2.240529639642478e-007	3.193427e+000	2.615665e-002	4.894215e+000	2.295404e+000
2.279592139642478e-007	3.194434e+000	2.574875e-002	4.894220e+000	2.298761e+000
2.318654639642478e-007	3.195317e+000	2.536333e-002	4.894226e+000	2.302100e+000
2.360507318213907e-007	3.196180e+000	2.496797e-002	4.894232e+000	2.305660e+000
2.402359996785336e-007	3.196974e+000	2.458826e-002	4.894238e+000	2.309201e+000
2.444212675356766e-007	3.197698e+000	2.422422e-002	4.894244e+000	2.312723e+000
2.486065353928195e-007	3.198354e+000	2.387584e-002	4.894249e+000	2.316227e+000
2.527918032499625e-007	3.198940e+000	2.354312e-002	4.894255e+000	2.319712e+000
2.569770711071053e-007	3.199457e+000	2.322607e-002	4.894260e+000	2.323178e+000
2.611623389642483e-007	3.199904e+000	2.292467e-002	4.894265e+000	2.326625e+000
2.659056425356770e-007	3.200362e+000	2.259733e-002	4.894271e+000	2.330510e+000
2.706489461071057e-007	3.200780e+000	2.228268e-002	4.894277e+000	2.334372e+000
2.753922496785344e-007	3.201158e+000	2.198073e-002	4.894282e+000	2.338211e+000
2.801355532499631e-007	3.201495e+000	2.169148e-002	4.894288e+000	2.342027e+000
2.848788568213917e-007	3.201792e+000	2.141493e-002	4.894293e+000	2.345820e+000
2.896221603928204e-007	3.202048e+000	2.115107e-002	4.894298e+000	2.349590e+000
2.943654639642491e-007	3.202265e+000	2.089991e-002	4.894303e+000	2.353337e+000
3.002248389642492e-007	3.202501e+000	2.060335e-002	4.894309e+000	2.357935e+000
3.060842139642494e-007	3.202714e+000	2.031900e-002	4.894315e+000	2.362499e+000
3.119435889642495e-007	3.202902e+000	2.004686e-002	4.894321e+000	2.367029e+000
3.178029639642497e-007	3.203067e+000	1.978694e-002	4.894327e+000	2.371526e+000
3.236623389642498e-007	3.203207e+000	1.953923e-002	4.894332e+000	2.375990e+000
3.295217139642499e-007	3.203323e+000	1.930373e-002	4.894337e+000	2.380420e+000
3.353810889642501e-007	3.203415e+000	1.908044e-002	4.894342e+000	2.384817e+000
3.437516246785360e-007	3.203527e+000	1.877841e-002	4.894349e+000	2.391041e+000
3.521221603928219e-007	3.203624e+000	1.849121e-002	4.894356e+000	2.397201e+000
